"X1","X2"
"June Gruber","June Gruber"
"June Gruber","Sheri L Johnson"
"June Gruber","June Gruber"
"June Gruber","Sheri L Johnson"
"June Gruber","Ann M Kring"
"June Gruber","June Gruber"
"June Gruber","Ann M Kring"
"June Gruber","Yoona Kang"
"June Gruber","Jeremy R Gray"
"June Gruber","Yoona Kang"
"June Gruber","June Gruber"
"June Gruber","Jeremy R Gray"
"June Gruber","Polina Eidelman"
"June Gruber","Allison G Harvey"
"June Gruber","June Gruber"
"June Gruber","Polina Eidelman"
"June Gruber","Allison G Harvey"
"June Gruber","Adam B Cohen"
"June Gruber","Dacher Keltner"
"June Gruber","Adam B Cohen"
"June Gruber","June Gruber"
"June Gruber","Dacher Keltner"
"June Gruber","William A Cunningham"
"June Gruber","Tabitha Kirkland"
"June Gruber","Aleena C Hay"
"June Gruber","June Gruber"
"June Gruber","William A Cunningham"
"June Gruber","Tabitha Kirkland"
"June Gruber","Aleena C Hay"
"June Gruber","Allison G Harvey"
"June Gruber","Sheri L Johnson"
"June Gruber","June Gruber"
"June Gruber","Allison G Harvey"
"June Gruber","Sheri L Johnson"
"June Gruber","Christopher Oveis"
"June Gruber","Dacher Keltner"
"June Gruber","Sheri L Johnson"
"June Gruber","June Gruber"
"June Gruber","Christopher Oveis"
"June Gruber","Dacher Keltner"
"June Gruber","Sheri L Johnson"
"June Gruber","June Gruber"
"June Gruber","Christopher Oveis"
"June Gruber","Dacher Keltner"
"June Gruber","Sheri L Johnson"
"June Gruber","Polina Eidelman"
"June Gruber","Lisa S Talbot"
"June Gruber","Allison G Harvey"
"June Gruber","Polina Eidelman"
"June Gruber","Lisa S Talbot"
"June Gruber","June Gruber"
"June Gruber","Allison G Harvey"
"June Gruber","Allison G Harvey"
"June Gruber","James J Gross"
"June Gruber","June Gruber"
"June Gruber","Allison G Harvey"
"June Gruber","James J Gross"
"June Gruber","Sheri L Johnson"
"June Gruber","Christopher Oveis"
"June Gruber","Dacher Keltner"
"June Gruber","June Gruber"
"June Gruber","Sheri L Johnson"
"June Gruber","Christopher Oveis"
"June Gruber","Dacher Keltner"
"June Gruber","June Gruber"
"June Gruber","Sheri L Johnson"
"June Gruber","Christopher Oveis"
"June Gruber","Dacher Keltner"
"June Gruber","Katherine A Kaplan"
"June Gruber","Polina Eidelman"
"June Gruber","Lisa S Talbot"
"June Gruber","Allison G Harvey"
"June Gruber","Katherine A Kaplan"
"June Gruber","June Gruber"
"June Gruber","Polina Eidelman"
"June Gruber","Lisa S Talbot"
"June Gruber","Allison G Harvey"
"June Gruber","Sunny Dutra"
"June Gruber","Polina Eidelman"
"June Gruber","Sheri L Johnson"
"June Gruber","Allison G Harvey"
"June Gruber","June Gruber"
"June Gruber","Sunny Dutra"
"June Gruber","Polina Eidelman"
"June Gruber","Sheri L Johnson"
"June Gruber","Allison G Harvey"
"June Gruber","Julie N Lemoine"
"June Gruber","Robert T Knight"
"June Gruber","Allison G Harvey"
"June Gruber","June Gruber"
"June Gruber","Julie N Lemoine"
"June Gruber","Robert T Knight"
"June Gruber","Allison G Harvey"
"June Gruber","Lisa S Talbot"
